product_key,sku,product_name,category,price,is_active
1,SKU-000000,Monitored explicit attitude,Informatique,14.46,t
2,SKU-000001,Reduced incremental database,Jardin,71.49,t
3,SKU-000002,Switchable system-worthy help-desk,Beauté,45.30,t
4,SKU-000003,Customizable value-added strategy,Électronique,48.66,t
5,SKU-000004,Cross-platform 4thgeneration policy,Alimentation,15.21,t
6,SKU-000005,Open-source modular function,Beauté,210.92,t
7,SKU-000006,Mandatory bi-directional service-desk,Sport,405.10,f
8,SKU-000007,Focused interactive emulation,Maison,349.67,t
9,SKU-000008,Open-architected web-enabled help-desk,Maison,109.23,t
10,SKU-000009,Upgradable real-time access,Informatique,48.19,f
11,SKU-000010,Managed upward-trending algorithm,Mode,302.66,t
12,SKU-000011,Function-based asymmetric matrix,Jouets,269.04,t
13,SKU-000012,Front-line modular circuit,Livres,41.24,t
14,SKU-000013,Digitized disintermediate firmware,Alimentation,442.95,t
15,SKU-000014,Devolved intangible standardization,Jardin,352.88,f
16,SKU-000015,Pre-emptive motivating toolset,Jardin,386.99,t
17,SKU-000016,Persistent 6thgeneration strategy,Jardin,433.51,t
18,SKU-000017,Exclusive systematic conglomeration,Jouets,318.57,t
19,SKU-000018,Extended scalable moratorium,Mode,178.92,t
20,SKU-000019,Customizable client-driven model,Informatique,305.35,t
21,SKU-000020,Configurable leadingedge architecture,Jardin,83.37,t
22,SKU-000021,Progressive regional projection,Beauté,111.37,t
23,SKU-000022,Up-sized non-volatile system engine,Électronique,116.07,f
24,SKU-000023,Focused heuristic function,Mode,201.78,f
25,SKU-000024,Synergistic leadingedge support,Alimentation,438.43,t
26,SKU-000025,Synergized value-added functionalities,Jouets,199.02,t
27,SKU-000026,Devolved bottom-line archive,Jouets,73.15,t
28,SKU-000027,Diverse leadingedge synergy,Beauté,270.41,t
29,SKU-000028,Intuitive optimal interface,Livres,449.12,t
30,SKU-000029,Fully-configurable web-enabled methodology,Jardin,498.67,t
31,SKU-000030,Extended asynchronous array,Jouets,47.27,f
32,SKU-000031,Integrated real-time database,Informatique,78.11,t
33,SKU-000032,Front-line bi-directional adapter,Livres,299.01,t
34,SKU-000033,Public-key motivating initiative,Alimentation,498.07,t
35,SKU-000034,Diverse disintermediate application,Beauté,430.67,f
36,SKU-000035,Optional upward-trending throughput,Informatique,341.49,t
37,SKU-000036,Managed zero tolerance paradigm,Sport,384.76,t
38,SKU-000037,Fundamental systematic algorithm,Sport,218.51,t
39,SKU-000038,Assimilated disintermediate monitoring,Sport,486.00,t
40,SKU-000039,Cross-platform multimedia website,Beauté,456.49,t
41,SKU-000040,Ameliorated dynamic strategy,Sport,421.15,t
42,SKU-000041,Operative exuding neural-net,Jardin,78.11,t
43,SKU-000042,Multi-layered transitional array,Beauté,476.84,t
44,SKU-000043,Synergistic 5thgeneration analyzer,Électronique,300.27,t
45,SKU-000044,De-engineered asymmetric middleware,Informatique,464.69,t
46,SKU-000045,Distributed exuding archive,Sport,121.25,t
47,SKU-000046,Triple-buffered eco-centric algorithm,Alimentation,473.58,f
48,SKU-000047,Quality-focused background knowledge user,Jouets,408.38,t
49,SKU-000048,Balanced client-driven model,Beauté,383.39,t
50,SKU-000049,Fundamental interactive architecture,Jouets,473.53,t
51,SKU-000050,Optimized scalable neural-net,Beauté,436.47,t
52,SKU-000051,Phased national knowledge user,Jardin,464.60,t
53,SKU-000052,Stand-alone responsive core,Jardin,357.05,t
54,SKU-000053,Enterprise-wide well-modulated architecture,Mode,220.17,t
55,SKU-000054,Horizontal non-volatile portal,Informatique,125.46,f
56,SKU-000055,Re-engineered mission-critical access,Électronique,294.98,t
57,SKU-000056,Expanded static capacity,Jardin,5.58,t
58,SKU-000057,Ameliorated even-keeled core,Électronique,116.01,t
59,SKU-000058,Stand-alone fault-tolerant secured line,Mode,37.29,t
60,SKU-000059,Proactive eco-centric data-warehouse,Jouets,108.69,t
61,SKU-000060,Up-sized demand-driven function,Alimentation,288.95,t
62,SKU-000061,Integrated clear-thinking benchmark,Jouets,404.13,t
63,SKU-000062,Balanced incremental hierarchy,Informatique,330.17,t
64,SKU-000063,Cloned 6thgeneration workforce,Livres,234.58,t
65,SKU-000064,Ameliorated explicit infrastructure,Informatique,32.19,t
66,SKU-000065,Adaptive asymmetric access,Informatique,125.83,t
67,SKU-000066,Self-enabling explicit budgetary management,Jouets,71.81,t
